rig_shou,rig_elbow,rig_hip,rig_knee,rig_heel,left_shou,left_elbow,left_hip,left_knee,left_heel
17.01031436,187.5508646,226.5921666,168.9423152,252.2732897,17.55721908,186.2352109,222.1744548,159.46243,253.1180522
16.39788704,187.9242495,224.8854096,158.5270048,233.477583,17.60993178,186.085061,222.3392553,159.0697184,244.4951067
15.78233264,187.8972815,223.186257,161.1310005,233.6675869,17.23678074,186.278659,221.9389254,158.8500713,244.4450853
15.89346162,187.2782395,222.8211956,163.5613703,238.4226742,17.00765561,186.131696,221.9330583,158.3513356,246.6803079
15.43974605,187.0549389,221.6253012,162.5988206,235.7547895,16.49436976,186.206426,221.3708502,158.5426225,245.8590242
15.21830227,187.2200459,221.8413423,162.6748458,244.1374753,16.28758436,186.2798791,220.8563061,158.6542344,246.8036693
14.8358311,187.2027952,226.1588351,174.9952407,99.46772084,16.10740671,186.3215485,220.5160335,158.1486838,248.0126626
14.29218368,187.1579251,226.0407902,177.2915119,92.48343043,15.48362548,186.7853361,220.0721071,156.7204097,245.0419959
13.31657068,188.2054421,224.4143313,168.303879,242.1191705,13.96373409,188.6937229,219.3482736,155.2414884,238.1859651
12.69790972,189.3997795,223.3435797,154.6543572,256.4517387,12.75854419,191.4929103,218.0600484,154.9529172,238.2029156
11.84580444,191.8252904,221.7879769,153.0742058,255.7621122,11.91181376,193.5394326,216.9524943,154.9281648,251.7762025
11.65121291,191.7901264,221.6546457,153.1673574,263.4105014,11.49035282,194.8076868,216.7262169,154.8352192,258.1796281
11.18350832,193.9433321,220.7792972,154.0923972,262.6905577,10.62156261,196.9024265,216.0564941,155.1214783,264.8103476
10.42493111,197.0366438,219.2714356,155.3548982,260.8304527,10.11099723,200.1389071,214.7765612,155.6601485,266.0150542
8.82415342,199.8808678,217.708529,155.7394717,261.0149231,10.03937937,202.4348077,213.1423792,156.6508069,266.6378792
6.911547649,202.8048097,215.4252097,157.3123494,243.107169,9.998900487,207.9293289,211.5376678,157.5697593,264.5451918
6.29493559,212.9586143,213.2054882,158.6911962,239.3022861,11.01227187,211.8545539,209.7938151,159.2152494,263.4688124
6.457732517,212.3920053,212.9013714,159.0072335,238.8872247,11.62098221,212.99629,209.7826029,159.3588659,255.4610716
9.810794525,225.6764469,212.8356519,159.2224089,247.3740908,14.7333753,213.64183,208.7860583,162.0506093,248.9224801
10.86912017,235.4689844,213.2599808,159.8240961,247.3901,20.02795815,224.4529383,207.4345887,164.147568,247.5153811
21.04279232,242.9514694,213.6637202,159.2717129,248.7107768,25.11201073,238.0483049,206.9866907,163.8856337,240.6918204
24.09162638,82.27625093,214.2328163,157.9465689,257.2767027,28.76000876,249.7297528,207.0876037,163.9423709,250.8397235
34.41811826,73.37515678,216.8235244,157.5494551,265.3923509,34.68920798,79.27535785,209.3097559,163.9134085,263.5717601
38.14199856,72.80672531,217.4324437,157.9519694,266.3838087,35.95700183,77.43477159,210.2161089,163.4744473,264.0619003
40.29746859,58.73086579,218.7119064,158.3464677,266.5403934,40.54982308,64.41738399,212.3912701,162.9309321,268.555394
43.94480352,69.25068242,220.3356363,159.1981046,267.6214145,41.09708298,65.61631121,214.6383624,161.9946222,272.7216597
43.39160114,66.93217186,219.4861258,158.309923,255.6945568,39.48087271,70.49197682,214.4938088,163.9083704,267.388382
42.86808243,75.71360009,219.6452567,158.1701405,255.2193251,37.67912572,67.88645694,213.9867928,164.6510907,264.5359541
17.34044235,152.1710898,217.5521085,158.3851341,255.0602049,35.43009859,57.43752586,213.492845,166.0076842,258.9237621
